Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Simulation results: Food poverty and hunger,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Baseline,,Simulation effect,,,,,,Decomposition of the simulation effect,,,,,,,
,,,,Total,,Change from baseline (%),,,,Income effect only,,Own-price effect only,,Own- and cross-price effects only,,Prevalence thresholds,
Residential area,Income quintile,Food poverty rate (%),Prevalence of undernourishment (%),Food poverty rate (%),Prevalence of undernourishment (%),Food poverty rate (%),Prevalence of undernourishment (%),Residential area,Income quintile,Food poverty rate (%),Prevalence of undernourishment (%),Food poverty rate (%),Prevalence of undernourishment (%),Food poverty rate (%),Prevalence of undernourishment (%),Food poverty line (NGN/day; per capita),Minimum calorie requirement (kcal/day; per adult equivalent)
National,Total,0.4290103184619434,0.39988258488027034,0.4290103184619434,0.39988258488027034,0,0,National,Total,0.4290103184619434,0.39988258488027034,0.4290103184619434,0.39988258488027034,0.4290103184619434,0.39988258488027034,215.97661143493653,1713
Rural,Total,0.4937770148308003,0.3700421599329768,0.4937770148308003,0.3700421599329768,0,0,Rural,Total,0.4937770148308003,0.3700421599329768,0.4937770148308003,0.3700421599329768,0.4937770148308003,0.3700421599329768,216.17133654503726,1713
Urban,Total,0.3262447647520993,0.44723049614597976,0.3262447647520993,0.44723049614597976,0,0,Urban,Total,0.3262447647520993,0.44723049614597976,0.3262447647520993,0.44723049614597976,0.3262447647520993,0.44723049614597976,215.5349799760806,1713
,,,,,,,,,,,,,,,,,
,,Baseline,,Simulated impact,,,,,,Decomposition of the simulated impact,,,,,,,
,,,,Total,,Change from baseline (%),,,,Income effect only,,Own-price effect only,,Own- and cross-price effects only,,Prevalence thresholds,
Residential area,Income quintile,Food consumption expenditure per capita (NGN/day),Calorie consumption amount per adult equivalent (kcal/day),Food consumption expenditure per capita (NGN/day),Calorie consumption amount per adult equivalent (kcal/day),Food consumption expenditure per capita,Calorie consumption amount per adult equivalent,Residential area,Income quintile,Food consumption expenditure per capita (NGN/day),Calorie consumption amount per adult equivalent (kcal/day),Food consumption expenditure per capita (NGN/day),Calorie consumption amount per adult equivalent (kcal/day),Food consumption expenditure per capita (NGN/day),Calorie consumption amount per adult equivalent (kcal/day),Food poverty line (NGN/day; per capita),Minimum calorie requirement (kcal/day; per adult equivalent)
National,Total,274.8995289040059,2175.0767920586914,274.8995289040059,2175.0767920586914,0,0,National,Total,274.8995289040059,2175.0767920586914,274.8995289040059,2175.0767920586914,274.8995289040059,2175.0767920586914,215.97661143493653,1713
,1,110.11587835624371,1564.7224468471748,110.11587835624371,1564.7224468471748,0,0,,1,110.11587835624371,1564.7224468471748,110.11587835624371,1564.7224468471748,110.11587835624371,1564.7224468471748,208.70017578488304,1713
,2,172.55316270279184,1949.012961600444,172.55316270279184,1949.012961600444,0,0,,2,172.55316270279184,1949.012961600444,172.55316270279184,1949.012961600444,172.55316270279184,1949.012961600444,212.9963224650732,1713
,3,230.07244255668044,2083.247287067089,230.07244255668044,2083.247287067089,0,0,,3,230.07244255668044,2083.247287067089,230.07244255668044,2083.247287067089,230.07244255668044,2083.247287067089,213.9917912269706,1713
,4,300.1373632965554,2248.558292641387,300.1373632965554,2248.558292641387,0,0,,4,300.1373632965554,2248.558292641387,300.1373632965554,2248.558292641387,300.1373632965554,2248.558292641387,217.55777914217202,1713
,5,479.47367571442715,2774.766541469267,479.47367571442715,2774.766541469267,0,0,,5,479.47367571442715,2774.766541469267,479.47367571442715,2774.766541469267,479.47367571442715,2774.766541469267,223.48631491312167,1713
Rural,Total,254.9753687722281,2195.6621983981872,254.9753687722281,2195.6621983981872,0,0,Rural,Total,254.9753687722281,2195.6621983981872,254.9753687722281,2195.6621983981872,254.9753687722281,2195.6621983981872,216.17133654503726,1713
,1,109.87833107052833,1595.2357482782147,109.87833107052833,1595.2357482782147,0,0,,1,109.87833107052833,1595.2357482782147,109.87833107052833,1595.2357482782147,109.87833107052833,1595.2357482782147,209.14062387351223,1713
,2,173.30802968824997,1996.3110317682895,173.30802968824997,1996.3110317682895,0,0,,2,173.30802968824997,1996.3110317682895,173.30802968824997,1996.3110317682895,173.30802968824997,1996.3110317682895,213.2971193362505,1713
,3,236.36579253298004,2185.733960612702,236.36579253298004,2185.733960612702,0,0,,3,236.36579253298004,2185.733960612702,236.36579253298004,2185.733960612702,236.36579253298004,2185.733960612702,215.35198417869773,1713
,4,315.6778605757829,2423.74868953084,315.6778605757829,2423.74868953084,0,0,,4,315.6778605757829,2423.74868953084,315.6778605757829,2423.74868953084,315.6778605757829,2423.74868953084,219.2575111709723,1713
,5,499.97687921025715,2973.4442460179084,499.97687921025715,2973.4442460179084,0,0,,5,499.97687921025715,2973.4442460179084,499.97687921025715,2973.4442460179084,499.97687921025715,2973.4442460179084,226.4169385315942,1713
Urban,Total,320.08700318980254,2128.389628661273,320.08700318980254,2128.389628661273,0,0,Urban,Total,320.08700318980254,2128.389628661273,320.08700318980254,2128.389628661273,320.08700318980254,2128.389628661273,215.5349799760806,1713
,1,111.97874917580108,1325.4339250984945,111.97874917580108,1325.4339250984945,0,0,,1,111.97874917580108,1325.4339250984945,111.97874917580108,1325.4339250984945,111.97874917580108,1325.4339250984945,205.24613551089638,1713
,2,168.19170900903367,1675.7352228528923,168.19170900903367,1675.7352228528923,0,0,,2,168.19170900903367,1675.7352228528923,168.19170900903367,1675.7352228528923,168.19170900903367,1675.7352228528923,211.25838498716,1713
,3,212.49855960399475,1797.058085468018,212.49855960399475,1797.058085468018,0,0,,3,212.49855960399475,1797.058085468018,212.49855960399475,1797.058085468018,212.49855960399475,1797.058085468018,210.19351656931752,1713
,4,277.8564093660967,1997.3816995107265,277.8564093660967,1997.3816995107265,0,0,,4,277.8564093660967,1997.3816995107265,277.8564093660967,1997.3816995107265,277.8564093660967,1997.3816995107265,215.12081394425357,1713
,5,459.30116904917503,2579.2933160262482,459.30116904917503,2579.2933160262482,0,0,,5,459.30116904917503,2579.2933160262482,459.30116904917503,2579.2933160262482,459.30116904917503,2579.2933160262482,220.60295941752773,1713
,,,,,,,,,,,,,,,,Â ,
